product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Galette de blé noir Jambon Fromage,Baked Goods & Biscuits,1.1,12.0,7.4,,d
Pistaches grillées et salées,Nuts & Seeds,8.0,21.0,46.0,,b
Crumpets,Baked Goods & Biscuits,3.5,6.11,1.0,,c
Chips poivre Alfredo,Chips & Savoury Snacks,0.5,7.9,23.8,,d
Smoothie - Rebelle - True fruits,Candy & Chocolate,10.7,0.5,0.0,0.7,c
Biscuits croquants cacao avoine et miel,Candy & Chocolate,14.0,9.0,21.0,,d
Biscuits croquants Cranberry,Candy & Chocolate,21.4,7.8,15.5,,d
Confiture de fraise,Spreads & Dips,59.0,0.5,0.3,,d
Cœur coulant au chocolat - au caramel-beurre salé,Candy & Chocolate,32.0,6.6,29.0,2.6,e
Panettone,Candy & Chocolate,25.0,3.0,13.0,2.0,e
SABLES CHOCOLAT AU LAIT,Candy & Chocolate,27.0,6.9,24.0,3.0,e
Chocolat extra noir,Candy & Chocolate,26.0,8.7,42.0,,unknown
Chocolat noir,Candy & Chocolate,30.0,8.8,43.0,,unknown
Nachos kinepolis,Chips & Savoury Snacks,0.9,4.6,26.7,,c
Amande décortiquée valencia 34/38,Nuts & Seeds,6.9,24.1,54.1,,unknown
38% Cocoa Milk Chocolate,Candy & Chocolate,47.5,7.5,37.5,2.5,e
